주소,위도,경도,게시 상태,상태 변경 시각,홍보물 위치,행정동 코드,행정동 이름,장소명,홍보물 유형,홍보물 내용
경상남도 양산시 중앙동로 90,35.344254,129.045144,FALSE,2025-05-02 12:00:00,pc방,48330250,중앙동,월드PC,포스터,은둔청년을 위한 상담 지원 프로그램 안내
경상남도 양산시 양주동로 42,35.346299,129.040195,TRUE,2025-05-03 13:00:00,pc방,48330253,양주동,아이린PC,X배너,고립청년 대상 취업 연계 서비스 홍보
경상남도 양산시 삼성동로 23,35.306025,129.015301,TRUE,2025-05-01 14:00:00,카페,48330256,삼성동,컴포즈커피,현수막,정신건강 전문상담소 무료 이용 이벤트
경상남도 양산시 강서동로 78,35.365759,129.191173,TRUE,2025-05-01 11:00:00,pc방,48330259,강서동,싸피PC,포스터,1인 가구 청년을 위한 지역 커뮤니티 소개
경상남도 양산시 서창동로 96,35.306893,129.077825,TRUE,2025-05-01 09:00:00,약국,48330262,서창동,행복약국,X배너,은둔고립청년 복귀 지원금 안내
경상남도 양산시 소주동로 79,35.334887,129.024374,FALSE,2025-05-03 13:00:00,약국,48330265,소주동,스마일약국,포스터,심리치료 프로그램 참여자 모집
경상남도 양산시 평산동로 60,35.344786,129.155549,TRUE,2025-05-01 16:00:00,편의점,48330268,평산동,조이편이점,현수막,청년 대상 자립 생활 교육과정 홍보
경상남도 양산시 덕계동로 62,35.348726,129.150459,TRUE,2025-05-03 09:00:00,카페,48330271,덕계동,사운드커피,포스터,고립청년 긴급지원 핫라인 안내
경상남도 양산시 물금읍로 95,35.359577,129.18987,TRUE,2025-05-01 18:00:00,카페,48330110,물금읍,투썸플레이스,X배너,청년 복지센터 신규 오픈 소식
경상남도 양산시 동면로 94,35.386656,129.1643,FALSE,2025-05-02 10:00:00,카페,48330120,동면,브런치101,현수막,은둔청년 위한 거리 캠페인 일정 공지
경상남도 양산시 원동면로 36,35.324256,129.167233,FALSE,2025-05-01 15:00:00,약국,48330130,원동면,온누리약국,현수막,청년 대상 자립 생활 교육과정 홍보
경상남도 양산시 상북면로 32,35.303509,129.127129,FALSE,2025-05-02 11:00:00,약국,48330140,상북면,동행약국,포스터,고립청년 대상 취업 연계 서비스 홍보
경상남도 양산시 하북면로 82,35.331434,129.023607,TRUE,2025-05-02 15:00:00,편의점,48330150,하북면,씨유,X배너,은둔청년을 위한 상담 지원 프로그램 안내
